opcs4code,generaldescription,minormalformation,subgroup
T281,Other repair of anterior abdominal wall,,Abdominal Wall
K196,Creation of other cardiac conduit,,Heart
L021,Open correction of patent ductus arteriosus,,Heart
L022,Open correction of patent ductus arteriosus,,Heart
L023,Open correction of patent ductus arteriosus,,Heart
L024,Open correction of patent ductus arteriosus,,Heart
L028,Open correction of patent ductus arteriosus,,Heart
L029,Open correction of patent ductus arteriosus,,Heart
L031,Transluminal operations on abnormality of great vessel,,Heart
K041,Repair of tetralogy of fallot,,Heart
K042,Repair of tetralogy of fallot,,Heart
K043,Repair of tetralogy of fallot,,Heart
K044,Repair of tetralogy of fallot,,Heart
K045,Repair of tetralogy of fallot,,Heart
K046,Repair of tetralogy of fallot,,Heart
K048,Repair of tetralogy of fallot,,Heart
K049,Repair of tetralogy of fallot,,Heart
K051,Atrial inversion operations/transposition/great arterie,,Heart
K052,Atrial inversion operations/transposition/great arterie,,Heart
K058,Atrial inversion operations/transposition/great arterie,,Heart
K059,Atrial inversion operations/transposition/great arterie,,Heart
K061,Other repair of transposition of great arteries,,Heart
K062,Other repair of transposition of great arteries,,Heart
K063,Other repair of transposition of great arteries,,Heart
K064,Other repair of transposition of great arteries,,Heart
K068,Other repair of transposition of great arteries,,Heart
K069,Other repair of transposition of great arteries,,Heart
K071,Correction/total anomalous pulmonary venous connection,,Heart
K072,Correction/total anomalous pulmonary venous connection,,Heart
K073,Correction/total anomalous pulmonary venous connection,,Heart
K078,Correction/total anomalous pulmonary venous connection,,Heart
K079,Correction/total anomalous pulmonary venous connection,,Heart
K081,Repair of double outlet ventricle,,Heart
K082,Repair of double outlet ventricle,,Heart
K083,Repair of double outlet ventricle,,Heart
K084,Repair of double outlet ventricle,,Heart
K088,Repair of double outlet ventricle,,Heart
K089,Repair of double outlet ventricle,,Heart
K091,Repair of defect of atrioventricular septum,,Heart
K092,Repair of defect of atrioventricular septum,,Heart
K093,Repair of defect of atrioventricular septum,,Heart
K094,Repair of defect of atrioventricular septum,,Heart
K095,Repair of defect of atrioventricular septum,,Heart
K096,Repair of defect of atrioventricular septum,,Heart
K098,Repair of defect of atrioventricular septum,,Heart
K099,Repair of defect of atrioventricular septum,,Heart
K101,Repair of defect of interatrial septum,,Heart
K102,Repair of defect of interatrial septum,,Heart
K103,Repair of defect of interatrial septum,,Heart
K104,Repair of defect of interatrial septum,,Heart
K105,Repair of defect of interatrial septum,,Heart
K108,Repair of defect of interatrial septum,,Heart
K109,Repair of defect of interatrial septum,,Heart
K111,Repair of defect of interventricular septum,,Heart
K112,Repair of defect of interventricular septum,,Heart
K113,Repair of defect of interventricular septum,,Heart
K114,Repair of defect of interventricular septum,,Heart
K115,Repair of defect of interventricular septum,,Heart
K116,Repair of defect of interventricular septum,,Heart
K117,Repair of defect of interventricular septum,,Heart
K118,Repair of defect of interventricular septum,,Heart
K119,Repair of defect of interventricular septum,,Heart
K121,Repair of defect of unspecified septum of heart,,Heart
K122,Repair of defect of unspecified septum of heart,,Heart
K123,Repair of defect of unspecified septum of heart,,Heart
K124,Repair of defect of unspecified septum of heart,,Heart
K125,Repair of defect of unspecified septum of heart,,Heart
K128,Repair of defect of unspecified septum of heart,,Heart
K129,Repair of defect of unspecified septum of heart,,Heart
K131,Transluminal repair of defect of septum,,Heart
K132,Transluminal repair of defect of septum,,Heart
K133,Transluminal repair of defect of septum,,Heart
K134,Transluminal repair of defect of septum,,Heart
K135,Transluminal repair of defect of septum,,Heart
K138,Transluminal repair of defect of septum,,Heart
K139,Transluminal repair of defect of septum,,Heart
K141,Other open operations on septum of heart,,Heart
K142,Other open operations on septum of heart,,Heart
K143,Other open operations on septum of heart,,Heart
K144,Other open operations on septum of heart,,Heart
K145,Other open operations on septum of heart,,Heart
K148,Other open operations on septum of heart,,Heart
K149,Other open operations on septum of heart,,Heart
K151,Closed operations on septum of heart,,Heart
K152,Closed operations on septum of heart,,Heart
K158,Closed operations on septum of heart,,Heart
K159,Closed operations on septum of heart,,Heart
K161,Other therapeutic transluminal operations on septum of,,Heart
K162,Other therapeutic transluminal operations on septum of,,Heart
K163,Other therapeutic transluminal operations on septum of,,Heart
K164,Other therapeutic transluminal operations on septum of,,Heart
K165,Other therapeutic transluminal operations on septum of,,Heart
K166,Other therapeutic transluminal operations on septum of,,Heart
K168,Other therapeutic transluminal operations on septum of,,Heart
K169,Other therapeutic transluminal operations on septum of,,Heart
K171,Repair of univentricular heart,,Heart
K172,Repair of univentricular heart,,Heart
K173,Repair of univentricular heart,,Heart
K174,Repair of univentricular heart,,Heart
K175,Repair of univentricular heart,,Heart
K176,Repair of univentricular heart,,Heart
K177,Repair of univentricular heart,,Heart
K178,Repair of univentricular heart,,Heart
K179,Repair of univentricular heart,,Heart
K181,Creation of valved cardiac conduit,,Heart
K182,Creation of valved cardiac conduit,,Heart
K183,Creation of valved cardiac conduit,,Heart
K184,Creation of valved cardiac conduit,,Heart
K185,Creation of valved cardiac conduit,,Heart
K186,Creation of valved cardiac conduit,,Heart
K187,Creation of valved cardiac conduit,,Heart
K188,Creation of valved cardiac conduit,,Heart
K189,Creation of valved cardiac conduit,,Heart
K191,Creation of other cardiac conduit,,Heart
K192,Creation of other cardiac conduit,,Heart
K193,Creation of other cardiac conduit,,Heart
K194,Creation of other cardiac conduit,,Heart
K195,Creation of other cardiac conduit,,Heart
K198,Creation of other cardiac conduit,,Heart
K199,Creation of other cardiac conduit,,Heart
K201,Refashioning of atrium,,Heart
K202,Refashioning of atrium,,Heart
K203,Refashioning of atrium,,Heart
K204,Refashioning of atrium,,Heart
K208,Refashioning of atrium,,Heart
K209,Refashioning of atrium,,Heart
K222,Other operations on wall of atrium,,Heart
K241,Other operations on ventricles of heart,,Heart
K242,Other operations on ventricles of heart,,Heart
K245,Other operations on ventricles of heart,,Heart
K246,Other operations on ventricles of heart,,Heart
K247,Other operations on ventricles of heart,,Heart
K251,Plastic repair of mitral valve,,Heart
K252,Plastic repair of mitral valve,,Heart
K253,Plastic repair of mitral valve,,Heart
K254,Plastic repair of mitral valve,,Heart
K255,Plastic repair of mitral valve,,Heart
K258,Plastic repair of mitral valve,,Heart
K259,Plastic repair of mitral valve,,Heart
K261,Plastic repair of aortic valve,,Heart
K262,Plastic repair of aortic valve,,Heart
K263,Plastic repair of aortic valve,,Heart
K264,Plastic repair of aortic valve,,Heart
K265,Plastic repair of aortic valve,,Heart
K268,Plastic repair of aortic valve,,Heart
K269,Plastic repair of aortic valve,,Heart
K271,Plastic repair of tricuspid valve,,Heart
K272,Plastic repair of tricuspid valve,,Heart
K273,Plastic repair of tricuspid valve,,Heart
K274,Plastic repair of tricuspid valve,,Heart
K275,Plastic repair of tricuspid valve,,Heart
K276,Plastic repair of tricuspid valve,,Heart
K278,Plastic repair of tricuspid valve,,Heart
K279,Plastic repair of tricuspid valve,,Heart
K281,Plastic repair of pulmonary valve,,Heart
K282,Plastic repair of pulmonary valve,,Heart
K283,Plastic repair of pulmonary valve,,Heart
K284,Plastic repair of pulmonary valve,,Heart
K285,Plastic repair of pulmonary valve,,Heart
K288,Plastic repair of pulmonary valve,,Heart
K289,Plastic repair of pulmonary valve,,Heart
K291,Plastic repair of unspecified valve of heart,,Heart
K292,Plastic repair of unspecified valve of heart,,Heart
K293,Plastic repair of unspecified valve of heart,,Heart
K294,Plastic repair of unspecified valve of heart,,Heart
K295,Plastic repair of unspecified valve of heart,,Heart
K296,Plastic repair of unspecified valve of heart,,Heart
K297,Plastic repair of unspecified valve of heart,,Heart
K298,Plastic repair of unspecified valve of heart,,Heart
K299,Plastic repair of unspecified valve of heart,,Heart
K301,Revision of plastic repair of valve of heart,,Heart
K302,Revision of plastic repair of valve of heart,,Heart
K303,Revision of plastic repair of valve of heart,,Heart
K304,Revision of plastic repair of valve of heart,,Heart
K305,Revision of plastic repair of valve of heart,,Heart
K308,Revision of plastic repair of valve of heart,,Heart
K309,Revision of plastic repair of valve of heart,,Heart
K311,Open incision of valve of heart,,Heart
K312,Open incision of valve of heart,,Heart
K313,Open incision of valve of heart,,Heart
K314,Open incision of valve of heart,,Heart
K315,Open incision of valve of heart,,Heart
K318,Open incision of valve of heart,,Heart
K319,Open incision of valve of heart,,Heart
K321,Closed incision of valve of heart,,Heart
K322,Closed incision of valve of heart,,Heart
K323,Closed incision of valve of heart,,Heart
K324,Closed incision of valve of heart,,Heart
K328,Closed incision of valve of heart,,Heart
K329,Closed incision of valve of heart,,Heart
K331,Operations on aortic root,,Heart
K332,Operations on aortic root,,Heart
K333,Operations on aortic root,,Heart
K334,Operations on aortic root,,Heart
K335,Operations on aortic root,,Heart
K336,Operations on aortic root,,Heart
K338,Operations on aortic root,,Heart
K339,Operations on aortic root,,Heart
K341,Other open operations on valve of heart,,Heart
K342,Other open operations on valve of heart,,Heart
K343,Other open operations on valve of heart,,Heart
K344,Other open operations on valve of heart,,Heart
K345,Other open operations on valve of heart,,Heart
K346,Other open operations on valve of heart,,Heart
K348,Other open operations on valve of heart,,Heart
K349,Other open operations on valve of heart,,Heart
K351,Therapeutic transluminal operations on valve of heart,,Heart
K352,Therapeutic transluminal operations on valve of heart,,Heart
K353,Therapeutic transluminal operations on valve of heart,,Heart
K354,Therapeutic transluminal operations on valve of heart,,Heart
K355,Therapeutic transluminal operations on valve of heart,,Heart
K356,Therapeutic transluminal operations on valve of heart,,Heart
K357,Therapeutic transluminal operations on valve of heart,,Heart
K358,Therapeutic transluminal operations on valve of heart,,Heart
K359,Therapeutic transluminal operations on valve of heart,,Heart
K361,Excision of valve of heart,,Heart
K362,Excision of valve of heart,,Heart
K368,Excision of valve of heart,,Heart
K369,Excision of valve of heart,,Heart
K371,Removal/obstruction from structure adjacent/valve heart,,Heart
K372,Removal/obstruction from structure adjacent/valve heart,,Heart
K373,Removal/obstruction from structure adjacent/valve heart,,Heart
K374,Removal/obstruction from structure adjacent/valve heart,,Heart
K375,Removal/obstruction from structure adjacent/valve heart,,Heart
K376,Removal/obstruction from structure adjacent/valve heart,,Heart
K378,Removal/obstruction from structure adjacent/valve heart,,Heart
K379,Removal/obstruction from structure adjacent/valve heart,,Heart
K381,Other operations on structure adjacent to valve of hear,,Heart
K382,Other operations on structure adjacent to valve of hear,,Heart
K383,Other operations on structure adjacent to valve of hear,,Heart
K384,Other operations on structure adjacent to valve of hear,,Heart
K385,Other operations on structure adjacent to valve of hear,,Heart
K386,Other operations on structure adjacent to valve of hear,,Heart
K388,Other operations on structure adjacent to valve of hear,,Heart
K389,Other operations on structure adjacent to valve of hear,,Heart
L011,Open operations for combined abnormality of great vesse,,Heart
L012,Open operations for combined abnormality of great vesse,,Heart
L013,Open operations for combined abnormality of great vesse,,Heart
L014,Open operations for combined abnormality of great vesse,,Heart
L018,Open operations for combined abnormality of great vesse,,Heart
L019,Open operations for combined abnormality of great vesse,,Heart
L032,Transluminal operations on abnormality of great vessel,,Heart
L038,Transluminal operations on abnormality of great vessel,,Heart
L039,Transluminal operations on abnormality of great vessel,,Heart
G401,Incision of pylorus,Yes,Digestive
G701,Open extirpation of lesion of ileum,Yes,Digestive
G073,Repair of oesophagus,,Digestive
G231,Repair of diaphragmatic hernia,,Digestive
G232,Repair of diaphragmatic hernia,,Digestive
G233,Repair of diaphragmatic hernia,,Digestive
G234,Repair of diaphragmatic hernia,,Digestive
G238,Repair of diaphragmatic hernia,,Digestive
G239,Repair of diaphragmatic hernia,,Digestive
G402,Incision of pylorus,,Digestive
T164,Other repair of diaphragm,,Digestive
T803,Release of contracture of muscle,,"""Ear, Face & Neck"""
M731,Repair of urethra,,Genital
N285,Plastic operations on penis,,Genital
X272,Correction of minor congenital deformity of foot,Yes,Limb
X273,Correction of minor congenital deformity of foot,Yes,Limb
X274,Correction of minor congenital deformity of foot,Yes,Limb
X275,Correction of minor congenital deformity of foot,Yes,Limb
T021,Reconstruction of chest wall,,Limb
T022,Reconstruction of chest wall,,Limb
X191,Correction of congenital deformity of shoulder or upper,,Limb
X198,Correction of congenital deformity of shoulder or upper,,Limb
X199,Correction of congenital deformity of shoulder or upper,,Limb
X201,Correction of congenital deformity of forearm,,Limb
X202,Correction of congenital deformity of forearm,,Limb
X203,Correction of congenital deformity of forearm,,Limb
X204,Correction of congenital deformity of forearm,,Limb
X205,Correction of congenital deformity of forearm,,Limb
X208,Correction of congenital deformity of forearm,,Limb
X209,Correction of congenital deformity of forearm,,Limb
X211,Correction of congenital deformity of hand,,Limb
X212,Correction of congenital deformity of hand,,Limb
X213,Correction of congenital deformity of hand,,Limb
X214,Correction of congenital deformity of hand,,Limb
X215,Correction of congenital deformity of hand,,Limb
X216,Correction of congenital deformity of hand,,Limb
X217,Correction of congenital deformity of hand,,Limb
X218,Correction of congenital deformity of hand,,Limb
X219,Correction of congenital deformity of hand,,Limb
X221,Correction of congenital deformity of hip,,Limb
X222,Correction of congenital deformity of hip,,Limb
X223,Correction of congenital deformity of hip,,Limb
X224,Correction of congenital deformity of hip,,Limb
X225,Correction of congenital deformity of hip,,Limb
X228,Correction of congenital deformity of hip,,Limb
X229,Correction of congenital deformity of hip,,Limb
X231,Correction of congenital deformity of leg,,Limb
X232,Correction of congenital deformity of leg,,Limb
X233,Correction of congenital deformity of leg,,Limb
X234,Correction of congenital deformity of leg,,Limb
X235,Correction of congenital deformity of leg,,Limb
X236,Correction of congenital deformity of leg,,Limb
X238,Correction of congenital deformity of leg,,Limb
X239,Correction of congenital deformity of leg,,Limb
X241,Primary correction of congenital deformity of foot,,Limb
X242,Primary correction of congenital deformity of foot,,Limb
X243,Primary correction of congenital deformity of foot,,Limb
X244,Primary correction of congenital deformity of foot,,Limb
X248,Primary correction of congenital deformity of foot,,Limb
X249,Primary correction of congenital deformity of foot,,Limb
X251,Other correction of congenital deformity of foot,,Limb
X252,Other correction of congenital deformity of foot,,Limb
X253,Other correction of congenital deformity of foot,,Limb
X254,Other correction of congenital deformity of foot,,Limb
X258,Other correction of congenital deformity of foot,,Limb
X259,Other correction of congenital deformity of foot,,Limb
X271,Correction of minor congenital deformity of foot,,Limb
X278,Correction of minor congenital deformity of foot,,Limb
X279,Correction of minor congenital deformity of foot,,Limb
A391,Repair of dura,,Nervous System
A491,Repair of spina bifida,,Nervous System
A492,Repair of spina bifida,,Nervous System
A493,Repair of spina bifida,,Nervous System
A494,Repair of spina bifida,,Nervous System
A498,Repair of spina bifida,,Nervous System
A499,Repair of spina bifida,,Nervous System
F031,Correction of deformity of lip,,Orofacial Clefts
F032,Correction of deformity of lip,,Orofacial Clefts
F291,Correction of deformity of palate,,Orofacial Clefts
F292,Correction of deformity of palate,,Orofacial Clefts
F298,Correction of deformity of palate,,Orofacial Clefts
F299,Correction of deformity of palate,,Orofacial Clefts
T191,Simple excision of inguinal hernial sac,Yes,Other
T192,Simple excision of inguinal hernial sac,Yes,Other
T193,Simple excision of inguinal hernial sac,Yes,Other
T198,Simple excision of inguinal hernial sac,Yes,Other
T199,Simple excision of inguinal hernial sac,Yes,Other
T201,Primary repair of inguinal hernia,Yes,Other
T202,Primary repair of inguinal hernia,Yes,Other
T203,Primary repair of inguinal hernia,Yes,Other
T204,Primary repair of inguinal hernia,Yes,Other
T208,Primary repair of inguinal hernia,Yes,Other
T209,Primary repair of inguinal hernia,Yes,Other
T211,Repair of recurrent inguinal hernia,Yes,Other
T212,Repair of recurrent inguinal hernia,Yes,Other
T213,Repair of recurrent inguinal hernia,Yes,Other
T214,Repair of recurrent inguinal hernia,Yes,Other
T218,Repair of recurrent inguinal hernia,Yes,Other
T219,Repair of recurrent inguinal hernia,Yes,Other
L751,Other arteriovenous operations,,Other
E083,Other operations on internal nose,,Respiratory
M024,Total excision of kidney,,Urinary
M031,Partial excision of kidney,,Urinary
M032,Partial excision of kidney,,Urinary
M184,Excision of ureter,,Urinary
M201,Replantation of ureter,,Urinary
M202,Replantation of ureter,,Urinary
M203,Replantation of ureter,,Urinary
M208,Replantation of ureter,,Urinary
M209,Replantation of ureter,,Urinary
M211,Other connection of ureter,,Urinary
M212,Other connection of ureter,,Urinary
M213,Other connection of ureter,,Urinary
M214,Other connection of ureter,,Urinary
M215,Other connection of ureter,,Urinary
M216,Other connection of ureter,,Urinary
M218,Other connection of ureter,,Urinary
M219,Other connection of ureter,,Urinary
M221,Repair of ureter,,Urinary
M222,Repair of ureter,,Urinary
M223,Repair of ureter,,Urinary
M228,Repair of ureter,,Urinary
M229,Repair of ureter,,Urinary
M231,Incision of ureter,,Urinary
M238,Incision of ureter,,Urinary
M239,Incision of ureter,,Urinary
M251,Other open operations on ureter,,Urinary
M732,Repair of urethra,,Urinary
